id,course_id,title,category,module,level,number,description,is_active,competency
1,1,Generative networks - Language models,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M1L1,1,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
2,1,Using AI in everyday tasks,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M1L2,2,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
3,1,Creating the synopsis of our story,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M1L3,3,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
4,1,Turning a story into a game,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M1L4,4,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
5,1,Studying HTML & CSS,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M2L1,5,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
6,1,Features of code generation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M2L2,6,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
7,1,Using code to stylize the game,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M2L3,7,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
8,1,Features of image generation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M3L1,8,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
9,1,Creating a location,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M3L2,9,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
10,1,Character creation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M3L3,10,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
11,1,Building scenes,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M3L4,11,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
12,1,Features of generating music and sound effects,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M4L1,12,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
13,1,Creating a game atmosphere with sound reffects,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M4L2,13,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
14,1,Speech generation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M4L3,14,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
15,1,Voice acting of characters,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M4L4,15,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
16,1,Features of video generation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M5L1,16,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
17,1,Creating in-game scenes,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M5L2,17,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
18,1,Refinement and presentation of the game,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M5L3,18,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
19,1,Advanced prompting techniques,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M6L1,19,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
20,1,Application of advanced prompting techniques,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M6L2,20,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
21,1,Creating a description of a board game,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M6L3,21,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
22,1,Generative Adversarial Network (GAN) training algorithm,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M6L4,22,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
23,1,Creating GAN to generate an image of the game field,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M6L5,23,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
24,1,Introduction to Blender,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M7L1,24,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
25,1,Features of 3D object generation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M7L2,25,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
26,1,Creating 3D game models,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M7L3,26,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
27,1,Building a scene in Blender,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M7L4,27,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
28,1,Scene render,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M7L5,28,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
29,1,Building a game in Tabletopia,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M8L1,29,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
30,1,Building a game in Tabletopia Part 2,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M8L2,30,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
31,1,Product presentation,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M8L3,31,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
32,1,AI for solving everyday tasks,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M9L1,32,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
33,1,AI for solving educational tasks,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M9L2,33,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
34,1,Idea generation and implementation plan,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M10L1,34,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
35,1,Students develop their own project,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M10L2,35,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
36,1,Refining and defending students' own projects,"Artificial Intelligence, AI ENG","Artificial Intelligence, AI ENG",M10L3,36,,TRUE,Mengetahui Konsep String di Python;Mengetahui penggunaan function input();Memahami operasi pada String
